20.05.2017
Stationscode;Stationsname;"Tagesmittelwerte über 50 µg/m³";Messmethode;"Erster Messtag im Jahr";"Aktuellster Messtag im Jahr";Jan;Feb;Mär;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez
DEBB007;Elsterwerda;5;K;01.01.2016;31.12.2016;5;0;0;0;0;0;0;0;0;0;0;0
DEBB021;Potsdam-Zentrum;6;K;01.01.2016;31.12.2016;4;0;0;0;0;0;0;1;1;0;0;0
DEBB029;"Schwedt (Oder)";7;K;01.01.2016;31.12.2016;5;0;1;1;0;0;0;0;0;0;0;0
DEBB032;Eisenhüttenstadt;11;K;01.01.2016;31.12.2016;6;1;1;2;0;0;0;0;0;0;1;0
DEBB044;"Cottbus, Bahnhofstr.";4;K;01.01.2016;31.12.2016;4;0;0;0;0;0;0;0;0;0;0;0
DEBB045;"Frankfurt (Oder), Leipziger Str.";10;K;01.01.2016;31.12.2016;6;1;1;1;0;0;0;0;0;0;1;0
DEBB048;Neuruppin;3;K;01.01.2016;31.12.2016;3;0;0;0;0;0;0;0;0;0;0;0
DEBB049;"Brandenburg, Neuendorfer Str.";5;K;01.01.2016;31.12.2016;5;0;0;0;0;0;0;0;0;0;0;0
DEBB053;Hasenholz;4;K;01.01.2016;31.12.2016;4;0;0;0;0;0;0;0;0;0;0;0
DEBB054;"Potsdam Zeppelinstr.";7;K;01.01.2016;31.12.2016;4;0;1;0;0;0;0;0;0;0;2;0
DEBB055;"Brandenburg a.d. Havel";5;K;01.01.2016;31.12.2016;5;0;0;0;0;0;0;0;0;0;0;0
DEBB060;"Eberswalde Breite Straße";6;K;01.01.2016;31.12.2016;5;0;1;0;0;0;0;0;0;0;0;0
DEBB063;Wittenberge;3;K;01.01.2016;31.12.2016;3;0;0;0;0;0;0;0;0;0;0;0
DEBB064;Cottbus;6;K;01.01.2016;31.12.2016;5;1;0;0;0;0;0;0;0;0;0;0
DEBB065;"Lütte (Belzig)";4;K;01.01.2016;31.12.2016;4;0;0;0;0;0;0;0;0;0;0;0
DEBB066;Spreewald;4;K;01.01.2016;31.12.2016;4;0;0;0;0;0;0;0;0;0;0;0
DEBB067;Nauen;4;K;01.01.2016;31.12.2016;4;0;0;0;0;0;0;0;0;0;0;0
DEBB068;"Bernau, Lohmühlenstr.";6;K;01.01.2016;31.12.2016;5;0;0;1;0;0;0;0;0;0;0;0
DEBB073;"Potsdam, Großbeerenstr.";5;K;01.01.2016;31.12.2016;5;0;0;0;0;0;0;0;0;0;0;0
DEBB075;"Potsdam, Groß Glienicke";5;K;01.01.2016;31.12.2016;5;0;0;0;0;0;0;0;0;0;0;0
DEBB083;Spremberg;6;K;01.01.2016;31.12.2016;4;1;0;0;0;0;0;0;0;1;0;0
DEBB086;Blankenfelde-Mahlow;4;K;01.01.2016;31.12.2016;4;0;0;0;0;0;0;0;0;0;0;0
DEBB087;"Cottbus, W.-Külz-Str.";12;K;01.01.2016;31.12.2016;6;2;1;0;0;0;0;0;3;0;0;0
DEBB092;"Frankfurt (Oder)";8;K;01.01.2016;31.12.2016;5;1;1;0;0;0;0;0;0;0;1;0
DEBB099;"Herzfelde, Hauptstr.";10;K;01.01.2016;31.12.2016;4;1;3;2;0;0;0;0;0;0;0;0
DEBE010;"B Wedding-Amrumer Str.";5;K;01.01.2016;31.12.2016;5;0;0;0;0;0;0;0;0;0;0;0
DEBE032;"B Grunewald (3.5 m)";4;K;01.01.2016;31.12.2016;4;0;0;0;0;0;0;0;0;0;0;0
DEBE034;"B Neukölln-Nansenstraße";6;K;01.01.2016;31.12.2016;5;1;0;0;0;0;0;0;0;0;0;0
DEBE051;"B Buch";5;K;01.01.2016;31.12.2016;5;0;0;0;0;0;0;0;0;0;0;0
DEBE056;"B Friedrichshagen";4;K;01.01.2016;31.12.2016;4;0;0;0;0;0;0;0;0;0;0;0
DEBE061;"B Steglitz-Schildhornstr.";13;K;01.01.2016;31.12.2016;7;1;1;0;0;0;0;0;0;2;2;0
DEBE063;"B Neukölln-Silbersteinstr.";14;K;01.01.2016;31.12.2016;6;1;4;3;0;0;0;0;0;0;0;0
DEBE064;"B Neukölln-Karl-Marx-Str. 76";18;K;01.01.2016;31.12.2016;5;1;3;3;0;0;0;0;1;2;3;0
DEBE065;"B Friedrichshain-Frankfurter Allee";14;K;01.01.2016;31.12.2016;5;1;3;3;0;0;0;0;0;1;1;0
DEBE068;"B Mitte, Brückenstraße";6;K;01.01.2016;31.12.2016;5;0;0;1;0;0;0;0;0;0;0;0
DEBE069;"B Mariendorf, Mariendorfer Damm";8;K;01.01.2016;31.12.2016;5;0;1;0;0;0;0;0;0;1;1;0
DEBW004;Eggenstein;1;G;01.01.2016;31.12.2016;1;0;0;0;0;0;0;0;0;0;0;0
DEBW005;Mannheim-Nord;0;G;01.01.2016;31.12.2016;0;0;0;0;0;0;0;0;0;0;0;0
DEBW009;Heidelberg;1;G;01.01.2016;31.12.2016;1;0;0;0;0;0;0;0;0;0;0;0
